Name of Restaurant,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features,,,,
Dindigul Thalappakatti,Anna Nagar East,"['South Indian', ' Biryani', ' Chinese', ' North Indian']","['Mutton Biryani', ' Chicken Biryani', ' Mutton Nalli', ' Faluda', ' Chicken Grill', ' Fish Finger', ' Mutton Chukka']",900,3.9,674,4.1,4107,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required']",,,,
Dindigul Thalappakatti,Vettuvankeni,"['South Indian', ' Biryani', ' Chinese', ' North Indian']","['Chicken Biryani', ' Peri Peri Chicken', ' Fish Finger', ' Chicken Chettinad', ' Barbeque Chicken', ' Paratha', ' Naan']",900,4.1,540,3.8,3445,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Table Reservation Not Required', 'Valet Parking Available']",,,,
Dindigul Thalappakatti,Mogappair,"['South Indian', ' Biryani', ' Chinese', ' North Indian']","['Fish', ' Pepper Chicken', ' Bbq Chicken', ' Paratha', ' Chicken Grill', ' Mutton Biryani', ' Barbeque Chicken']",900,4.1,633,4,6902,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",,,,
Dindigul Thalappakatti,Selaiyur,"['South Indian', ' Biryani', ' Chinese', ' North Indian']","['Biryani', ' Paratha', ' Chicken Grill']",900,4,560,3.9,5487,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",,,,
Dindigul Thalappakatti,Perambur,"['South Indian', ' Biryani', ' Chinese', ' North Indian']","['Biryani', ' Fried Rice', ' Paratha', ' Roti']",900,3.9,309,4.1,4120,"['Home Delivery', 'Serves Halal', 'Indoor Seating', 'Table Reservation Not Required']",,,,
Dindigul Thalappakatti,Poonamalle,"['South Indian', ' Biryani', ' Chinese', ' North Indian']","['Mutton Biryani', ' Chicken Biryani', ' Chicken Soup', ' Barbeque Chicken']",900,4.1,445,4.2,2752,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",,,,
Dindigul Thalappakatti,Guindy,"['South Indian', ' Biryani', ' Chinese', ' North Indian']","['Kothu Parotta', ' Chicken Biryani', ' Fish Fry', ' Tawa Fish']",900,3.8,413,4.1,2974,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']",,,,
Dindigul Thalappakatti,Navallur,"['South Indian', ' Biryani', ' Chinese', ' North Indian']","['Fried Rice Chicken', ' Barbeque Chicken', ' Fish', ' Tandoori Roti']",900,4,409,3.9,3583,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required']",,,,
Dindigul Thalappakatti,Ambattur,"['South Indian', ' Biryani', ' Chinese', ' North Indian']","['Biryani', ' Black Pepper Chicken', ' Fish']",900,4,303,4,2517,"['Home Delivery', 'Indoor Seating']",,,,
Dindigul Thalappakatti,Padur,"['South Indian', ' Biryani', ' Chinese', ' North Indian']",Invalid,900,3.9,150,3.7,242,"['Home Delivery', 'Indoor Seating']",,,,
Dindigul Thalappakatti,Perungudi,"['South Indian', ' Biryani', ' Chinese', ' North Indian']",Invalid,900,3.7,134,4,948,"['Home Delivery', 'Indoor Seating']",,,,
Salem RR Briyani Unavagam,Medavakkam,"['Biryani', ' Chettinad', ' North Indian', ' Chinese']","['Chicken 65', ' Mutton Biryani']",600,4.2,642,4,320,"['Home Delivery', 'Catering Available', 'Indoor Seating']",,,,
Salam RR Briyani Unavagam,Kolathur,"['Biryani', ' Chinese', ' South Indian', ' Seafood']",Invalid,700,4.1,439,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Free Parking']",,,,
Salem RR Briyani Unavagam,Selaiyur,"['Biryani', ' Chettinad', ' North Indian', ' Chinese']","['Biryani', ' Paratha', ' Chicken 65']",600,4.1,356,3.8,5287,"['Home Delivery', 'Indoor Seating']",,,,
Salem RR Briyani Unavagam,Sholinganallur,"['Biryani', ' Chinese', ' North Indian', ' Seafood', ' Beverages']","['Chicken Biryani', ' Tandoori Chicken', ' Faluda', ' Crab Soup', ' Mutton Chukka', ' Chicken 65', ' Lime Soda']",550,3.6,327,3.7,351,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",,,,
Salem RR Briyani Unavagam,Tambaram,"['Biryani', ' Chinese', ' North Indian', ' Seafood', ' Beverages']","['Paratha', ' Chicken 65', ' Biryani', ' Kothu Parotta']",550,4,328,4,2317,"['Home Delivery', 'Indoor Seating', 'Catering Available']",,,,
Salem RR Briyani Unavagam,Ramapuram,"['Biryani', ' Chinese', ' South Indian', ' Seafood']","['Brinjal Gravy', ' Paratha', ' Brinjal Curry', ' Mutton Biryani', ' Omelette']",700,4,319,3.6,171,"['Home Delivery', 'Indoor Seating']",,,,
Salem RR Briyani Unavagam,Valasaravakkam,"['Biryani', ' Chettinad', ' North Indian', ' Chinese']",['Chicken 65'],600,3.8,235,None,Not enough Delivery Reviews,"['Home Delivery', 'Catering Available', 'Indoor Seating']",,,,
Salem RR Briyani Unavagam,Maduravoyal,"['Biryani', ' Chinese', ' South Indian', ' Seafood']",['Chicken 65'],700,3.9,168,4,1074,"['Home Delivery', 'Indoor Seating']",,,,
Salem RR Biryani Unavagam,Arumbakkam,"['Biryani', ' Chinese', ' North Indian', ' Seafood', ' Beverages']",Invalid,550,3.9,153,3.6,202,"['Home Delivery', 'Indoor Seating', 'Catering Available']",,,,
Salem RR Biryani Unavagam,Injambakkam,"['South Indian', ' Biryani', ' Chettinad', ' North Indian', ' Chinese']",Invalid,600,3.4,26,3.8,172,"['Home Delivery', 'Indoor Seating']",,,,
Salem RR Biryani Unavagam,Tambaram,"['Biryani', ' Chinese', ' South Indian', ' Seafood']",Invalid,700,3,18,3.8,130,"['Home Delivery', 'Indoor Seating', 'Catering Available']",,,,
Salem RR Biriyani Unavagam,Velachery,"['Biryani', ' Chinese', ' South Indian', ' Seafood']",Invalid,700,None,Does not offer Dining,3.9,22,['Delivery Only'],,,,
Salem RR Briyani Unavagam,Tambaram,"['Biryani', ' Chinese', ' South Indian', ' Seafood']",Invalid,700,None,Does not offer Dining,None,Not enough Delivery Reviews,['Delivery Only'],,,,
Salem RR Briyani Unavagam,T. Nagar,"['Biryani', ' Chinese', ' South Indian', ' Seafood']",Invalid,700,3.2,5,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required', 'Catering Available']",,,,
Zaitoon,Anna Nagar East,"['North Indian', ' Arabian', ' Chinese']","['Shawarma', ' Chicken Grill', ' Mutton Biryani', ' Chicken Butter Masala', ' Chicken Biryani', ' Bbq Chicken', ' Kerala Parotta']",900,4.2,1263,4.2,11300,"['Home Delivery', 'Serves Halal', 'Table booking for Groups', 'Card Upon Delivery', 'Catering Available', 'Free Parking', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended', 'Table reservation required', 'Kid Friendly', 'Sports TV']",,,,
Zaitoon,Velachery,"['North Indian', ' Arabian', ' Chinese']","['Shawarma', ' Barbeque Chicken', ' Bbq Chicken', ' Biryani', ' Bbq Fish', ' Brownie', ' Faluda']",900,4.1,2275,4.3,16600,"['Home Delivery', 'Serves Halal', 'Free Parking', 'Valet Parking Available', 'Indoor Seating', 'Table booking for Groups', 'Kid Friendly', 'Buffet', 'Sports TV', 'Table booking recommended', 'Card Upon Delivery', 'Catering Available']",,,,
Zaitoon,Nungambakkam,"['North Indian', ' Arabian', ' Chinese']","['Chicken Grill', ' Bbq Chicken', ' Shawarma', ' Biryani', ' Faluda', ' Butter Chicken', ' Barbeque Chicken']",900,4.2,1065,4.4,8488,"['Home Delivery', 'Serves Halal', 'Free Parking', 'Indoor Seating', 'Valet Parking Available', 'Table booking recommended', 'Card Upon Delivery', 'Catering Available']",,,,
Zaitoon,Adyar,"['North Indian', ' Arabian', ' Chinese']","['Chicken Grill', ' Shawarma', ' Barbeque Chicken', ' Kerala Parotta', ' Sizzler Brownie', ' Vegetable Biryani', ' Faluda']",900,4.2,2252,4.3,16500,"['Home Delivery', 'Serves Halal', 'Free Parking', 'Indoor Seating', 'Table booking recommended', 'Card Upon Delivery', 'Catering Available', 'Wifi', 'Valet Parking Available']",,,,
Zaitoon,Egatoor,"['North Indian', ' Arabian', ' Chinese']","['Chicken Grill', ' Tandoori Chicken', ' Paneer Tikka Masala', ' Brownie', ' Barbeque Chicken', ' Chicken Biryani', ' Cheese Balls']",900,3.7,141,3.9,102,"['Home Delivery', 'Serves Halal', 'Free Parking', 'Indoor Seating', 'Table booking recommended', 'Table reservation required', 'Catering Available', 'Valet Parking Available', 'Table booking for Groups', 'Kid Friendly']",,,,
Nithya Amirtham,Aminijikarai,"['Mithai', ' Street Food', ' South Indian']","['Chaat', ' Pizza']",200,4,98,4.4,1729,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']",,,,
Nithya Amirtham Sweets,Kilpauk,"['Mithai', ' Street Food', ' South Indian']",Invalid,200,None,Does not offer Dining,4.5,957,"['Home Delivery', 'Vegetarian Only', 'Pre-Ordering Required', 'Desserts and Bakes']",,,,
Nithya Amirtham Sweets,Arumbakkam,"['Mithai', ' Street Food', ' South Indian']",Invalid,200,3.8,61,4.2,1364,"['Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Desserts and Bakes']",,,,
Hotel Crescent,Anna Nagar West,"['North Indian', ' Chinese', ' South Indian', ' Biryani']","['Chicken Grill', ' Sea Food', ' Shawarma Roll', ' Ghee Rice', ' Fish Finger', ' Mutton Soup', ' Faluda']",650,3.9,392,4,1174,"['Home Delivery', 'Table Reservation Not Required', 'Indoor Seating']",,,,
Hotel Crescent,Adyar,"['Kerala', ' South Indian', ' Biryani', ' North Indian', ' Chinese']","['Fish', ' Paratha', ' Sexy Chicken', ' Tandoori Chicken', ' Kozhi Fry', ' Charcoal Grill', ' Elaneer Payasam']",650,4,495,3.8,2419,"['Home Delivery', 'Indoor Seating']",,,,
Hotel Crescent,Maduravoyal,"['North Indian', ' Chinese', ' South Indian', ' Biryani']","['Chicken Grill', ' Paratha', ' Chicken Curry', ' Bbq Chicken']",650,3.2,126,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Table Reservation Not Required']",,,,
Hotel Crescent,Poonamalle,"['Chettinad', ' Chinese', ' North Indian', ' Kebab', ' Biryani']",Invalid,500,3.6,67,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating', 'Table reservation required', 'Catering Available', 'Wifi']",,,,
Rasavid,Thuraipakkam,"['Andhra', ' Hyderabadi', ' Chinese', ' North Indian', ' Biryani']","['Ice Cream Roll', ' Prawn', ' Butter Naan', ' Chicken Vepudu', ' Hyderabadi Biryani', ' Bbq Fish', ' Gulab Jamun']",800,4.2,633,3.4,4202,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",,,,
Rasavid,Semmancheri,"['Andhra', ' Hyderabadi', ' Chinese', ' North Indian', ' Biryani']","['Hyderabadi Biryani', ' Dum Biryani', ' Malabar Fish Curry', ' Gulab Jamun', ' Salad', ' Manchow Soup', ' Haleem']",800,3.8,639,3.4,3927,"['Home Delivery', 'Table booking recommended', 'Indoor Seating', 'Catering Available', 'Buffet']",,,,
Rasavid,Karapakkam,"['Andhra', ' Hyderabadi', ' Chinese', ' North Indian', ' Biryani']","['Hyderabadi Dum Biryani', ' Prawn', ' Fry Prawns', ' Dragon Chicken', ' Haleem', ' Carrot Halwa', ' Vegetable Biryani']",800,4,1387,3.7,7855,"['Home Delivery', 'Indoor Seating', 'Catering Available', 'Table booking recommended']",,,,
Rasavid Multicuisine Restaurant,Navallur,"['North Indian', ' Chinese', ' Andhra']",Invalid,500,None,Does not offer Dining,None,Not enough Delivery Reviews,['Delivery Only'],,,,
Shri Balaajee Bhavan,Anna Nagar East,"['South Indian', ' North Indian']","['Filtered Coffee', ' Vada Curry', ' Thali', ' Pongal', ' Ghee Dosa', ' Fried Rice', ' Panneer Butter Masala']",500,4.3,776,4.2,20900,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table reservation required', 'Catering Available']",,,,
Shri Balaajee Bhavan,T. Nagar,"['South Indian', ' North Indian']","['Pongal', ' Panneer Butter Masala', ' Paneer Pulao', ' Filtered Coffee', ' Vada', ' Paneer Tikka Masala', ' Butter Naan']",500,4.2,375,3.8,95,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Table reservation required', 'Catering Available']",,,,
Shri Balaajee Bhavan,Mogappair,"['South Indian', ' North Indian', ' Beverages']",['Naan'],400,4,377,4.1,13500,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available']",,,,
Shri Balaajee Bhavan,Potheri,"['South Indian', ' North Indian']","['Coffee', ' Paper Dosa', ' Onion Uttapam']",500,4.1,187,4.1,651,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating']",,,,
Shri Balaajee Bhavan,Ambattur,"['South Indian', ' North Indian']",Invalid,500,3.8,153,4,808,"['Breakfast', 'Vegetarian Only', 'Indoor Seating']",,,,
Shri Balaajee Bhavan,Saidapet,"['South Indian', ' North Indian']","['Filtered Coffee', ' Vada Curry', ' Vada Sambar']",300,3.8,108,3.9,4896,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Catering Available']",,,,
Buhari,Triplicane,"['North Indian', ' Chinese', ' Seafood', ' Biryani']","['Chicken 65', ' Tea', ' Faluda', ' Mutton Samosa', ' Chicken Biryani', ' Butter Naan', ' Butter Chicken']",800,3.8,549,None,Not enough Delivery Reviews,"['Home Delivery', 'Catering Available', 'Indoor Seating', 'Table reservation required']",,,,
Buhari,Velachery,"['Biryani', ' Arabian', ' North Indian', ' Chinese']","['Chicken Biryani', ' Chicken 65', ' Mutton Biryani', ' Chicken Soup', ' Naan', ' Jamali Chicken', ' Paratha']",850,2.6,888,4,4163,"['Home Delivery', 'Indoor Seating', 'Wifi', 'Buffet']",,,,
Buhari,Anna Nagar East,"['Biryani', ' Arabian', ' North Indian', ' Chinese']","['Biryani', ' Faluda', ' Naan', ' Chicken 65', ' Panneer Butter Masala', ' Butter Chicken', ' Brinjal Gravy']",850,4.1,641,4,323,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",,,,
Buhari,T. Nagar,"['Biryani', ' Arabian', ' North Indian', ' Chinese', ' Desserts', ' Beverages']","['Mutton Biryani', ' Chicken Biryani', ' Mutton Paya', ' Tandoori Chicken', ' Egg Fried Rice', ' Dum Biryani', ' Mutton Leg Soup']",800,3.9,464,4,1061,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",,,,
Buhari,Ashok Nagar,"['Biryani', ' Arabian', ' North Indian', ' Chinese', ' Desserts', ' Beverages']","['Chicken 65', ' Paratha', ' Mutton Biryani', ' Chicken Grill', ' Faluda', ' Chicken Biryani', ' Tandoori Chicken']",800,3.4,336,4.2,1268,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",,,,
Buhari,Mogappair,"['Biryani', ' North Indian', ' Chinese']","['Faluda', ' Mutton Biryani', ' Mutton Paya', ' Paratha', ' Butter Naan', ' Mutton Fry', ' Prawn']",1000,2.4,372,4.2,2565,"['Home Delivery', 'Indoor Seating', 'Catering Available', 'Table reservation required']",,,,
Buhari,Adyar,"['Arabian', ' North Indian', ' Chinese']","['Chicken 65', ' Paratha', ' Chicken Biryani', ' Paya', ' Mutton Samosa', ' Dragon Chicken', ' Kothu Parotta']",800,3.7,294,4,775,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",,,,
Buhari,Kanchipuram District,"['Biryani', ' Arabian', ' North Indian', ' Chinese', ' Desserts', ' Beverages']","['Chicken 65', ' Chicken Lollipop', ' Barbeque Chicken', ' Naan', ' Paya', ' Chicken Biryani', ' Chicken Grill']",800,2.9,231,4,474,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",,,,
Buhari,Purasavakkam,"['Biryani', ' North Indian', ' Chinese', ' Fast Food']","['Tea', ' Chicken Lollipop']",600,2.4,174,3.9,731,"['Home Delivery', 'Free Parking', 'Table reservation required', 'Indoor Seating']",,,,
Buhari,Thuraipakkam,"['Biryani', ' Arabian', ' North Indian', ' Seafood']","['Chicken 65', ' Fish', ' Tandoori Chicken', ' Lamb', ' Naan', ' Mutton Samosa', ' Noodle']",850,2.6,188,3.7,1360,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",,,,
Buhari,Kanathur,"['Biryani', ' Arabian', ' North Indian', ' Chinese']","['Biryani', ' Butter Naan', ' Faluda', ' Chicken 65']",850,2.3,93,3.4,312,"['Home Delivery', 'Indoor Seating', 'Wifi', 'Table Reservation Not Required']",,,,
Buhari,GST Road,"['Biryani', ' Arabian', ' North Indian', ' Chinese', ' Desserts', ' Beverages']",['Chicken 65'],800,2.6,71,3.9,562,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",,,,
Buhari,Poonamalle,"['North Indian', ' Chinese', ' Seafood', ' Biryani']",Invalid,800,3,81,3.9,502,"['Home Delivery', 'Table booking recommended', 'Indoor Seating']",,,,
Buhari,Kilpauk,"['North Indian', ' Chinese']",Invalid,1000,2.8,50,None,Not enough Delivery Reviews,"['Home Delivery', 'Indoor Seating']",,,,
Buhari,Medavakkam,"['Biryani', ' Arabian', ' North Indian', ' Chinese']",['Tandoori Chicken'],850,2.6,47,3.7,704,"['Home Delivery', 'Indoor Seating']",,,,
Buhari,Kolathur,"['Biryani', ' Arabian', ' North Indian', ' Chinese', ' Desserts', ' Beverages']",Invalid,800,3.2,18,3.9,105,"['Home Delivery', 'Indoor Seating']",,,,
Buhari,Nandanam,"['North Indian', ' Chinese', ' Seafood', ' Biryani']",Invalid,800,None,Not enough Dining Reviews,3.8,117,"['Home Delivery', 'Indoor Seating']",,,,
Buhari,Medavakkam,"['Biryani', ' Chinese', ' North Indian', ' Arabian']",Invalid,850,None,Not enough Dining Reviews,3.3,205,"['Home Delivery', 'Indoor Seating', 'Table reservation required']",,,,
Buhari,Santhome,"['Biryani', ' Arabian', ' North Indian', ' Chinese', ' Desserts', ' Beverages']",Invalid,800,2,4,3.8,40,"['Home Delivery', 'Indoor Seating']",,,,
Domino's Pizza,Ashok Nagar,"['Pizza', ' Fast Food']","['Pizza', ' Stuffed Garlic Bread', ' Butterscotch Mousse', ' Chocolava Cake', ' Pasta', ' Veggie Paradise']",400,3.8,490,4.3,5202,"['Home Delivery', 'Indoor Seating', 'Free Parking', 'Catering Available']",,,,
Domino's Pizza,Royapuram,"['Pizza', ' Fast Food']","['Garlic Bread', ' Chicken Wings', ' Pizza Burger', ' Chocolava Cake']",400,3.9,603,3.8,4579,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Domino's Pizza,Perambur,"['Pizza', ' Fast Food']","['Pizza', ' Chocolava Cake', ' Garlic Bread']",400,4,604,4.4,5283,"['Home Delivery', 'Catering Available', 'Indoor Seating']",,,,
Domino's Pizza,Thuraipakkam,"['Pizza', ' Fast Food']","['Peppy Paneer', ' Spicy Chicken', ' Mousse', ' Garlic Bread', ' Chocolava Cake', ' Cheese Burst Pizza']",400,3.8,895,4.3,11,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Catering Available']",,,,
Domino's Pizza,Velachery,"['Pizza', ' Fast Food']","['Thin Crust Pizza', ' Garlic Bread', ' Pizza Burger']",400,3.3,537,4.2,6450,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Rooftop', 'Catering Available']",,,,
Domino's Pizza,Anna Nagar East,"['Pizza', ' Fast Food']","['Garlic Bread', ' Pasta', ' Mexican Tacos', ' Peppy Paneer', ' Veggie Pizza', ' Margarita', ' Supreme Pizza']",400,3.7,544,4.2,6082,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Catering Available']",,,,
Domino's Pizza,Kanchipuram District,"['Pizza', ' Fast Food']","['Deluxe Veggie Pizza', ' Lava Cake']",400,3.2,754,4.1,8647,"['Home Delivery', 'Indoor Seating']",,,,
Domino's Pizza,Thiruvanmiyur,"['Pizza', ' Fast Food']","['Pizza', ' Cheese Burst Crust']",400,3.7,353,4.4,5972,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Domino's Pizza,Ambattur,"['Pizza', ' Fast Food']","['Pizza', ' Garlic Bread']",400,4.1,488,4.3,4696,"['Home Delivery', 'Indoor Seating']",,,,
Domino's Pizza,Purasavakkam,"['Pizza', ' Fast Food']","['Garlic Bread', ' Peppy Paneer', ' Cheese Burst Pizza', ' Chocolava Cake', ' Lava Cake']",400,3.5,497,4.2,6820,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Catering Available']",,,,
Domino's Pizza,Chromepet,"['Pizza', ' Fast Food']","['Pizza', ' Garlic Bread', ' Barbeque Chicken']",400,4,542,4.5,5788,"['Home Delivery', 'Catering Available', 'Indoor Seating', 'Free Parking']",,,,
Domino's Pizza,Padur,"['Pizza', ' Fast Food']",['Pizza'],400,3.9,586,3.9,6922,"['Home Delivery', 'Free Parking', 'Catering Available', 'Indoor Seating']",,,,
Domino's Pizza,Tambaram,"['Pizza', ' Fast Food']","['Lava Cake', ' Stuffed Garlic Bread', ' Chicken Pizza']",400,3.9,533,4.3,4514,"['Home Delivery', 'Catering Available', 'Indoor Seating']",,,,
Domino's Pizza,Nanganallur,"['Pizza', ' Fast Food']","['Garlic Bread', ' Pizza Burger', ' Burgers', ' Cheese Burst Pizza', ' Lava Cake']",400,3.8,365,4.1,4303,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Catering Available']",,,,
Domino's Pizza,Adyar,"['Pizza', ' Fast Food']","['Chocolava Cake', ' Pizza Burger', ' Mexican Tacos', ' White Pasta']",400,3.7,404,4.5,4536,"['Home Delivery', 'Indoor Seating', 'Free Parking']",,,,
Domino's Pizza,Pallavaram,"['Pizza', ' Fast Food']","['Pizza', ' Garlic Bread']",400,4,400,4.1,4384,"['Home Delivery', 'Indoor Seating', 'Free Parking']",,,,
Domino's Pizza,Mylapore,"['Pizza', ' Fast Food']","['Pasta', ' Garlic Bread', ' Chocolava', ' Cheese Burst Pizza']",400,3.4,295,4.4,4141,"['Home Delivery', 'Free Parking', 'Catering Available', 'Indoor Seating']",,,,
Domino's Pizza,Selaiyur,"['Pizza', ' Fast Food']","['Pizza', ' Garlic Bread']",400,3.5,352,4,3989,"['Home Delivery', 'Indoor Seating', 'Catering Available', 'Free Parking']",,,,
Domino's Pizza,Egmore,"['Pizza', ' Fast Food']","['Peppy Paneer', ' Chocolava', ' Pizza Burger', ' Garlic Bread', ' Lava Cake']",400,3.8,351,4.3,4955,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Domino's Pizza,GST Road,"['Pizza', ' Fast Food']","['Pizza', ' Lava Cake']",400,3.9,491,4.3,6572,"['Home Delivery', 'Indoor Seating']",,,,
Domino's Pizza,Navallur,"['Pizza', ' Fast Food']","['Chocolava Cake', ' Pasta', ' Pizza Burger', ' Veggie Pizza', ' Lava Cake']",400,2.6,468,3.9,5684,"['Home Delivery', 'Indoor Seating', 'Catering Available']",,,,
Domino's Pizza,Poonamalle,"['Pizza', ' Fast Food']","['Pizza', ' Garlic Bread']",400,3.9,348,4.2,6163,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Domino's Pizza,Valasaravakkam,"['Pizza', ' Fast Food']","['Garlic Bread', ' Cheesy Pizza', ' Chocolava Cake', ' Spicy Triple Tango', ' Farm Pizza', ' Lava Cake']",400,3.9,356,4,4415,"['Home Delivery', 'Indoor Seating', 'Catering Available', 'Free Parking']",,,,
Domino's Pizza,T. Nagar,"['Pizza', ' Fast Food']","['Pizza', ' Peppy Paneer', ' Pasta', ' Stuffed Garlic Bread', ' Chocolava', ' Bbq Chicken']",400,3.9,321,4.3,4221,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Domino's Pizza,Perungudi,"['Pizza', ' Fast Food']","['Chocolava Cake', ' Chicken Meatballs', ' Lava Cake', ' Pizza Burger']",400,3.9,382,4.5,4865,"['Home Delivery', 'Catering Available', 'Free Parking', 'Indoor Seating']",,,,
Domino's Pizza,Mogappair,"['Pizza', ' Fast Food']","['Pizza', ' Pasta', ' Cheesy Garlic Bread', ' Veg Supreme']",400,3.1,363,4.3,4429,"['Home Delivery', 'Catering Available', 'Free Parking', 'Indoor Seating']",,,,
Domino's Pizza,Saidapet,"['Pizza', ' Fast Food']","['Chicken Pizza', ' Garlic Bread']",400,3.7,310,4.3,4847,"['Home Delivery', 'Catering Available', 'Indoor Seating', 'Free Parking']",,,,
Domino's Pizza,K.K. Nagar,"['Pizza', ' Fast Food']","['Pizza Burger', ' Calzone Pockets', ' Garlic Bread', ' Chocolava Cake']",400,3.6,323,4.3,3678,"['Home Delivery', 'Indoor Seating', 'Catering Available']",,,,
Domino's Pizza,Aminijikarai,"['Pizza', ' Fast Food']","['Pizza', ' Stuffed Garlic Bread', ' Chicken Fiesta']",400,3.5,308,4.4,5714,"['Home Delivery', 'Free Parking', 'Indoor Seating']",,,,
Domino's Pizza,"DLF IT Park, Ramapuram","['Pizza', ' Fast Food']","['Pizza', ' Garlic Bread']",400,2.7,384,3.8,3990,"['Home Delivery', 'Restricted Entry', 'Catering Available', 'Indoor Seating']",,,,
Domino's Pizza,Nungambakkam,"['Pizza', ' Fast Food']","['Chocolava Cake', ' Stuffed Garlic Bread', ' Cheesy Pizza', ' Garlic Bread Stick']",400,3.7,292,4.3,4176,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Catering Available']",,,,
Domino's Pizza,Kodambakkam,"['Pizza', ' Fast Food']",Invalid,400,3.8,272,4.4,3614,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Catering Available']",,,,
Domino's Pizza,Maduravoyal,"['Pizza', ' Fast Food']",Invalid,400,3.9,286,4.1,4674,"['Home Delivery', 'Free Parking', 'Catering Available', 'Indoor Seating']",,,,
Domino's Pizza,Medavakkam,"['Pizza', ' Fast Food']","['Pizza', ' Garlic Bread']",400,2.8,259,4,4291,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Catering Available']",,,,
Domino's Pizza,Mandaveli,"['Pizza', ' Fast Food']","['Pizza Burger', ' Peppy Paneer', ' Cheesy Pizza']",400,2.9,262,3.9,3059,"['Home Delivery', 'Indoor Seating', 'Catering Available', 'Free Parking']",,,,
Domino's Pizza,Triplicane,"['Pizza', ' Fast Food']",['Pizza'],400,3.6,251,4.5,3683,"['Home Delivery', 'Indoor Seating', 'Free Parking']",,,,
Domino's Pizza,"Forum Vijaya Mall, Vadapalani","['Pizza', ' Fast Food']","['Paneer Pizza', ' Pizza Burger', ' Barbeque Chicken Pizza', ' Garlic Bread', ' Margarita']",400,3.7,290,4,3138,"['Home Delivery', 'Wheelchair Accessible', 'Mall Parking', 'Indoor Seating', 'Catering Available']",,,,
Domino's Pizza,Medavakkam,"['Pizza', ' Fast Food']","['Chocolava Cake', ' Pizza Burger', ' Stuffed Garlic Bread']",400,3.4,251,4.4,3343,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Catering Available']",,,,
Domino's Pizza,Avadi,"['Pizza', ' Fast Food']",Invalid,400,4,248,4.3,766,"['Home Delivery', 'Indoor Seating', 'Free Parking']",,,,
Domino's Pizza,"Phoenix Market City, Velachery","['Pizza', ' Fast Food']","['Pizza Burger', ' Garlic Bread', ' Paneer Pizza', ' Chocolava Cake', ' Pasta', ' Veggie Pizza']",400,2.8,174,None,Does not offer Delivery,"['Wheelchair Accessible', 'Mall Parking', 'Rooftop', 'Indoor Seating']",,,,
Domino's Pizza,Teynampet,"['Pizza', ' Fast Food']","['Pizza', ' Wings']",400,3.3,223,4.3,3154,"['Home Delivery', 'Indoor Seating', 'Free Parking', 'Catering Available']",,,,
